typeName;typeName;quantity;damagePerJob
Corvette Prototype Amarr;Isogen;10;1
Corvette Prototype Amarr;Megacyte;1;1
Corvette Prototype Amarr;Mexallon;218;1
Corvette Prototype Amarr;Pyerite;918;1
Corvette Prototype Amarr;Tritanium;1854;1
Corvette Prototype Caldari;Isogen;10;1
Corvette Prototype Caldari;Megacyte;1;1
Corvette Prototype Caldari;Mexallon;218;1
Corvette Prototype Caldari;Pyerite;918;1
Corvette Prototype Caldari;Tritanium;1854;1
Corvette Prototype Gallente;Isogen;10;1
Corvette Prototype Gallente;Megacyte;1;1
Corvette Prototype Gallente;Mexallon;218;1
Corvette Prototype Gallente;Pyerite;918;1
Corvette Prototype Gallente;Tritanium;1854;1
Corvette Prototype Minmatar;Isogen;10;1
Corvette Prototype Minmatar;Megacyte;1;1
Corvette Prototype Minmatar;Mexallon;218;1
Corvette Prototype Minmatar;Pyerite;918;1
Corvette Prototype Minmatar;Tritanium;1854;1
Countermeasure Launcher I;Isogen;2;1
Countermeasure Launcher I;Mexallon;83;1
Countermeasure Launcher I;Nocxium;3;1
Countermeasure Launcher I;Pyerite;443;1
Countermeasure Launcher I;Tritanium;504;1
Coupling Array;Nocxium;200;1
Coupling Array;Organic Mortar Applicators;1;1
Coupling Array;Sterile Conduits;1;1
Coupling Array;Tritanium;50000;1
Covert Cynosural Field Generator I;Isogen;2125;1
Covert Cynosural Field Generator I;Megacyte;533;1
Covert Cynosural Field Generator I;Mexallon;1954;1
Covert Cynosural Field Generator I;Nocxium;890;1
Covert Cynosural Field Generator I;Pyerite;7542;1
Covert Cynosural Field Generator I;Tritanium;12542;1
Covert Cynosural Field Generator I;Zydrine;985;1
Covert Cynosural Field I;Hypersynaptic Fibers;1;1
Covert Cynosural Field I;Isogen;1;1
Covert Cynosural Field I;Megacyte;1;1
Covert Cynosural Field I;Mexallon;20;1
Covert Cynosural Field I;Nanotransistors;1;1
Covert Cynosural Field I;Nocxium;1;1
Covert Cynosural Field I;Pyerite;15;1
Covert Cynosural Field I;Strontium Clathrates;10;1
Covert Cynosural Field I;Tritanium;5;1
Covert Jump Portal Generator I;Isogen;2000;1
Covert Jump Portal Generator I;Megacyte;1495;1
Covert Jump Portal Generator I;Mexallon;5000;1
Covert Jump Portal Generator I;Nocxium;1000;1
Covert Jump Portal Generator I;Pyerite;8000;1
Covert Jump Portal Generator I;Tritanium;12000;1
Covert Jump Portal Generator I;Zydrine;12005;1
Covert Ops Cloaking Device II;Graviton Pulse Generator;15;1
Covert Ops Cloaking Device II;Isogen;414;1
Covert Ops Cloaking Device II;Megacyte;15;1
Covert Ops Cloaking Device II;Mexallon;700;1
Covert Ops Cloaking Device II;Miniature Electronics;10;1
Covert Ops Cloaking Device II;Morphite;40;1
Covert Ops Cloaking Device II;Nocxium;154;1
Covert Ops Cloaking Device II;Photon Microprocessor;20;1
Covert Ops Cloaking Device II;Prototype Cloaking Device I;1;1
Covert Ops Cloaking Device II;Pyerite;5718;1
Covert Ops Cloaking Device II;R.A.M.- Electronics;1;0.25
Covert Ops Cloaking Device II;Transmitter;20;1
Covert Ops Cloaking Device II;Tritanium;14628;1
Covert Ops Cloaking Device II;Zydrine;60;1
Covetor;Isogen;17842;1
Covetor;Megacyte;270;1
Covetor;Mexallon;61280;1
Covetor;Nocxium;3972;1
Covetor;Pyerite;645030;1
Covetor;Tritanium;2120040;1
Covetor;Zydrine;1030;1
Crane;Badger;1;1
Crane;Construction Blocks;75;1
Crane;Gravimetric Sensor Cluster;60;1
Crane;Graviton Reactor Unit;25;1
Crane;Magpulse Thruster;75;1
Crane;Megacyte;12;1
Crane;Mexallon;5491;1
Crane;Morphite;40;1
Crane;Nocxium;409;1
Crane;Pyerite;30001;1
Crane;Quantum Microprocessor;800;1
Crane;R.A.M.- Starship Tech;7;0.95
Crane;Scalar Capacitor Unit;150;1
Crane;Sustained Shield Emitter;100;1
Crane;Titanium Diborite Armor Plate;2000;1
Crane;Tritanium;97844;1
Crane;Zydrine;124;1
Crimson Arkonor;Arkonor;200;1
Crimson Arkonor;Coolant;1;1
Crimson Arkonor;Enriched Uranium;10;1
Crimson Arkonor;Hydrochloric Acid;10;1
Crimson Arkonor;Megacyte;350;1
Crimson Arkonor;Plutonium;5;1
Crimson Arkonor;Tritanium;315;1
Crimson Arkonor;Zydrine;174;1
Crisium Ice Harvester Upgrade;Isogen;2;1
Crisium Ice Harvester Upgrade;Megacyte;1;1
Crisium Ice Harvester Upgrade;Mexallon;286;1
Crisium Ice Harvester Upgrade;Tritanium;608;1
Crisium Ice Harvester Upgrade;Zydrine;3;1
Crokite Mining Crystal I;Nocxium;325;1
Crokite Mining Crystal II;Crokite Mining Crystal I;1;1
Crokite Mining Crystal II;Hypersynaptic Fibers;13;1
Crokite Mining Crystal II;Nocxium;350;1
Crokite Mining Crystal II;R.A.M.- Electronics;1;0.075
'Crop' Gas Cloud Harvester;Megacyte;76;1
'Crop' Gas Cloud Harvester;Mexallon;6890;1
'Crop' Gas Cloud Harvester;Nocxium;640;1
'Crop' Gas Cloud Harvester;Pyerite;27600;1
'Crop' Gas Cloud Harvester;Tritanium;84250;1
'Crossbow' Focused Medium Beam Laser I;Blood Raider Extreme Ballistic Control;1;1
'Crossbow' Focused Medium Beam Laser I;Force Cable;1;1
'Crossbow' Focused Medium Beam Laser I;Mexallon;2172;1
'Crossbow' Focused Medium Beam Laser I;Nocxium;1;1
'Crossbow' Focused Medium Beam Laser I;Pyerite;1479;1
'Crossbow' Focused Medium Beam Laser I;Sacred Manifesto;1;1
'Crossbow' Focused Medium Beam Laser I;Tritanium;4076;1
Crow;Condor;1;1
Crow;Construction Blocks;10;1
Crow;Gravimetric Sensor Cluster;20;1
Crow;Graviton Reactor Unit;3;1
Crow;Isogen;88;1
Crow;Magpulse Thruster;30;1
Crow;Megacyte;10;1
Crow;Mexallon;166;1
Crow;Morphite;5;1
Crow;Pyerite;1622;1
Crow;Quantum Microprocessor;80;1
Crow;R.A.M.- Starship Tech;1;0.95
Crow;Scalar Capacitor Unit;50;1
Crow;Sustained Shield Emitter;15;1
Crow;Titanium Diborite Armor Plate;300;1
Crow;Tritanium;2199;1
Crow;Zydrine;10;1
'Crucible' Small Capacitor Battery I;Isogen;2;1
'Crucible' Small Capacitor Battery I;Mexallon;138;1
'Crucible' Small Capacitor Battery I;Nocxium;2;1
'Crucible' Small Capacitor Battery I;Pyerite;384;1
'Crucible' Small Capacitor Battery I;Takmahl Cohere Cord;1;1
'Crucible' Small Capacitor Battery I;Takmahl Dynamic Gauge;1;1
'Crucible' Small Capacitor Battery I;Takmahl Fractal Sheet;1;1
'Crucible' Small Capacitor Battery I;Tritanium;616;1
Crucifier;Megacyte;3;1
Crucifier;Mexallon;570;1
Crucifier;Nocxium;2;1
Crucifier;Pyerite;9858;1
Crucifier;Tritanium;11600;1
Crucifier;Zydrine;2;1
Crude Sculpture;Mexallon;10000;1
Cruise Missile Battery;Heavy Missile Launcher I;1;1
Cruise Missile Battery;Self-Harmonizing Power Core;1;1
Cruise Missile Launcher I;Megacyte;8;1
Cruise Missile Launcher I;Nocxium;6;1
Cruise Missile Launcher I;Pyerite;906;1
Cruise Missile Launcher I;Tritanium;83;1
Cruise Missile Launcher I;Zydrine;2;1
Cruise Missile Launcher II;Cruise Missile Launcher I;1;1
Cruise Missile Launcher II;Megacyte;8;1
Cruise Missile Launcher II;Morphite;8;1
Cruise Missile Launcher II;Nocxium;6;1
Cruise Missile Launcher II;Pyerite;906;1
Cruise Missile Launcher II;Quantum Microprocessor;8;1
Cruise Missile Launcher II;R.A.M.- Weapon Tech;1;0.35
Cruise Missile Launcher II;Robotics;8;1
Cruise Missile Launcher II;Tritanium;83;1
Cruise Missile Launcher II;Zydrine;2;1
Cruor;Isogen;361;1
Cruor;Mexallon;2654;1
Cruor;Nocxium;79;1
Cruor;Pyerite;5520;1
Cruor;Tritanium;20518;1
Cruor;Zydrine;15;1
Crusader;Antimatter Reactor Unit;3;1
Crusader;Construction Blocks;10;1
Crusader;Executioner;1;1
Crusader;Fusion Thruster;30;1
Crusader;Isogen;33;1
Crusader;Linear Shield Emitter;15;1
Crusader;Megacyte;7;1
Crusader;Mexallon;160;1
Crusader;Morphite;5;1
Crusader;Nanoelectrical Microprocessor;80;1
Crusader;Pyerite;2710;1
Crusader;R.A.M.- Starship Tech;1;0.95
Crusader;Radar Sensor Cluster;20;1
Crusader;Tesseract Capacitor Unit;50;1
Crusader;Tritanium;2952;1
Crusader;Tungsten Carbide Armor Plate;300;1
Crusader;Zydrine;23;1
Cryptic Data Interface;Construction Alloy;2;1
Cryptic Data Interface;Data Processor;1;1
Cryptic Data Interface;Electric Conduit;16;1
Cryptic Data Interface;Energy Cells;5;1
Cryptic Data Interface;Mechanic Parts;10;1
Cryptic Ship Data Interface;Construction Alloy;20;1
Cryptic Ship Data Interface;Data Processor;10;1
Cryptic Ship Data Interface;Electric Conduit;160;1
Cryptic Ship Data Interface;Energy Cells;50;1
Cryptic Ship Data Interface;Mechanic Parts;100;1
Cryptic Tuner Data Interface;Construction Alloy;4;1
Cryptic Tuner Data Interface;Data Processor;2;1
Cryptic Tuner Data Interface;Electric Conduit;32;1
Cryptic Tuner Data Interface;Energy Cells;10;1
Cryptic Tuner Data Interface;Mechanic Parts;20;1
Crystalline Carbonide Armor Plate;Crystalline Carbonide;40;1
Crystalline Carbonide Armor Plate;Sylramic Fibers;10;1
Curator I;Megacyte;8;1
Curator I;Nocxium;4;1
Curator I;Pyerite;8936;1
Curator I;Tritanium;464;1
Curator II;Curator I;1;1
Curator II;Guidance Systems;3;1
Curator II;Laser Focusing Crystals;2;1
Curator II;Megacyte;8;1
Curator II;Morphite;3;1
Curator II;Nocxium;4;1
Curator II;Pyerite;8936;1
Curator II;R.A.M.- Robotics;1;0.1
Curator II;Robotics;3;1
Curator II;Tritanium;464;1
Curse;Antimatter Reactor Unit;20;1
Curse;Arbitrator;1;1
Curse;Construction Blocks;50;1
Curse;Fusion Thruster;40;1
Curse;Isogen;392;1
Curse;Linear Shield Emitter;200;1
Curse;Megacyte;63;1
Curse;Mexallon;297;1
Curse;Morphite;100;1
Curse;Nanoelectrical Microprocessor;1200;1
Curse;Nocxium;39;1
Curse;Pyerite;3786;1
Curse;R.A.M.- Starship Tech;12;0.95
Curse;Radar Sensor Cluster;330;1
Curse;Tesseract Capacitor Unit;250;1
Curse;Tritanium;33089;1
Curse;Tungsten Carbide Armor Plate;2500;1
Curse;Zydrine;92;1
Customs Office Gantry;Capital Construction Parts;1;1
Customs Office Gantry;Integrity Response Drones;5;1
Customs Office Gantry;Nano-Factory;10;1
Customs Office Gantry;Organic Mortar Applicators;10;1
Customs Office Gantry;Sterile Conduits;14;1
Cyclone;Isogen;28977;1
Cyclone;Megacyte;684;1
Cyclone;Mexallon;97844;1
Cyclone;Pyerite;405001;1
Cyclone;Tritanium;1623468;1
Cyclone;Zydrine;1743;1
Cyclops;Isogen;36285;1
Cyclops;Megacyte;1280;1
Cyclops;Mexallon;93665;1
Cyclops;Nocxium;6030;1
Cyclops;Pyerite;283628;1
Cyclops;Tritanium;1030880;1
Cyclops;Zydrine;585;1
Cynabal;Isogen;8718;1
Cynabal;Megacyte;160;1
Cynabal;Mexallon;35916;1
Cynabal;Nocxium;2148;1
Cynabal;Pyerite;138810;1
Cynabal;Tritanium;552920;1
Cynabal;Zydrine;541;1
Cynosural Field Generator I;Isogen;828;1
Cynosural Field Generator I;Megacyte;297;1
Cynosural Field Generator I;Mexallon;1400;1
Cynosural Field Generator I;Nocxium;308;1
Cynosural Field Generator I;Pyerite;7514;1
Cynosural Field Generator I;Tritanium;11245;1
Cynosural Field Generator I;Zydrine;125;1
Cynosural Field Generator test;Isogen;828;1
Cynosural Field Generator test;Megacyte;297;1
Cynosural Field Generator test;Mexallon;1400;1
Cynosural Field Generator test;Nocxium;308;1
Cynosural Field Generator test;Pyerite;11436;1
Cynosural Field Generator test;Tritanium;29256;1
Cynosural Field Generator test;Zydrine;120;1
Cynosural Field I;Hypersynaptic Fibers;1;1
Cynosural Field I;Isogen;1;1
Cynosural Field I;Megacyte;1;1
Cynosural Field I;Mexallon;20;1
Cynosural Field I;Nanotransistors;1;1
Cynosural Field I;Nocxium;1;1
Cynosural Field I;Pyerite;15;1
Cynosural Field I;Strontium Clathrates;10;1
Cynosural Field I;Tritanium;5;1
Cynosural Generator Array;Broadcast Node;10;1
Cynosural Generator Array;Capital Construction Parts;2;1
Cynosural Generator Array;Organic Mortar Applicators;8;1
Cynosural Generator Array;Recursive Computing Module;6;1
Cynosural Generator Array;Self-Harmonizing Power Core;6;1
Cynosural Generator Array;Sterile Conduits;4;1
Cynosural Generator Array;Wetware Mainframe;2;1
Cynosural System Jammer;Broadcast Node;10;1
Cynosural System Jammer;Capital Construction Parts;4;1
Cynosural System Jammer;Integrity Response Drones;6;1
Cynosural System Jammer;Organic Mortar Applicators;6;1
Cynosural System Jammer;Recursive Computing Module;5;1
Cynosural System Jammer;Self-Harmonizing Power Core;10;1
Cynosural System Jammer;Wetware Mainframe;4;1
CZ-4 Concussive Spatial Destabilizer ECM;Megacyte;1;1
CZ-4 Concussive Spatial Destabilizer ECM;Pyerite;827;1
CZ-4 Concussive Spatial Destabilizer ECM;Tritanium;2596;1
'Daemon' Codebreaker I;Isogen;4;1
'Daemon' Codebreaker I;Megacyte;2;1
'Daemon' Codebreaker I;Mexallon;423;1
'Daemon' Codebreaker I;Pyerite;165;1
'Daemon' Codebreaker I;Tritanium;756;1
Dagger;Construction Blocks;20;1
Dagger;Deflection Shield Emitter;20;1
Dagger;Electrolytic Capacitor Unit;20;1
Dagger;Fernite Carbide Composite Armor Plate;25;1
Dagger;Isogen;19;1
Dagger;Ladar Sensor Cluster;50;1
Dagger;Megacyte;5;1
Dagger;Mexallon;2860;1
Dagger;Morphite;20;1
Dagger;Nanomechanical Microprocessor;35;1
Dagger;Nuclear Reactor Unit;25;1
Dagger;Plasma Thruster;30;1
Dagger;Pyerite;14658;1
Dagger;Tritanium;16360;1
Dagger;Zydrine;6;1
Damage Control Hull Test;Mexallon;48;1
Damage Control Hull Test;Pyerite;2;1
Damage Control Hull Test;Tritanium;956;1
Damage Control I;Mexallon;48;1
Damage Control I;Pyerite;2;1
Damage Control I;Tritanium;956;1
Damage Control II;Construction Blocks;2;1
Damage Control II;Damage Control I;1;1
Damage Control II;Fernite Carbide Composite Armor Plate;1;1
Damage Control II;Mechanical Parts;3;1
Damage Control II;Mexallon;56;1
Damage Control II;Morphite;1;1
Damage Control II;Nocxium;4;1
Damage Control II;Oscillator Capacitor Unit;1;1
Damage Control II;Plasma Pulse Generator;1;1
Damage Control II;Pyerite;3;1
Damage Control II;Quantum Microprocessor;1;1
Damage Control II;R.A.M.- Armor/Hull Tech;1;0.2
Damage Control II;Tritanium;1205;1
Damnation;Antimatter Reactor Unit;35;1
Damnation;Construction Blocks;250;1
Damnation;Fusion Thruster;80;1
Damnation;Isogen;20021;1
Damnation;Linear Shield Emitter;400;1
Damnation;Megacyte;784;1
Damnation;Mexallon;125053;1
Damnation;Morphite;200;1
Damnation;Nanoelectrical Microprocessor;1400;1
Damnation;Prophecy;1;1
Damnation;Pyerite;489013;1
Damnation;R.A.M.- Starship Tech;15;0.95
Damnation;Radar Sensor Cluster;330;1
Damnation;Tesseract Capacitor Unit;600;1
Damnation;Tritanium;2280140;1
Damnation;Tungsten Carbide Armor Plate;7000;1
Damnation;Zydrine;1973;1
Daredevil;Isogen;358;1
Daredevil;Megacyte;1;1
Daredevil;Mexallon;2654;1
Daredevil;Nocxium;74;1
Daredevil;Pyerite;5661;1
Daredevil;Tritanium;20974;1
Daredevil;Zydrine;9;1
Dark Blood Control Tower;Amarr Control Tower;1;1
Dark Blood Control Tower;Isogen;52500;1
Dark Blood Control Tower;Megacyte;7875;1
Dark Blood Control Tower;Mexallon;157500;1
Dark Blood Control Tower;Nocxium;26250;1
Dark Blood Control Tower;Pyerite;525000;1
Dark Blood Control Tower;Tritanium;3150000;1
Dark Blood Control Tower;Zydrine;21000;1
Dark Blood Control Tower Medium;Amarr Control Tower Medium;1;1
Dark Blood Control Tower Medium;Isogen;26250;1
Dark Blood Control Tower Medium;Megacyte;3937;1
Dark Blood Control Tower Medium;Mexallon;78750;1
Dark Blood Control Tower Medium;Nocxium;13125;1
Dark Blood Control Tower Medium;Pyerite;262500;1
Dark Blood Control Tower Medium;Tritanium;1575000;1
Dark Blood Control Tower Medium;Zydrine;10500;1
Dark Blood Control Tower Small;Amarr Control Tower Small;1;1
Dark Blood Control Tower Small;Isogen;13125;1
Dark Blood Control Tower Small;Megacyte;1968;1
Dark Blood Control Tower Small;Mexallon;39375;1
Dark Blood Control Tower Small;Nocxium;6562;1
Dark Blood Control Tower Small;Pyerite;131250;1
Dark Blood Control Tower Small;Tritanium;787500;1
Dark Blood Control Tower Small;Zydrine;5250;1
Dark Blood Energy Neutralizing Battery;Energy Neutralizing Battery;1;1
Dark Blood Energy Neutralizing Battery;Isogen;1;1
Dark Blood Energy Neutralizing Battery;Isogen;100;1
Dark Blood Large Beam Laser Battery;Large Beam Laser Battery;1;1
Dark Blood Large Beam Laser Battery;Megacyte;10;1
Dark Blood Large Beam Laser Battery;Megacyte;122;1
Dark Blood Large Pulse Laser Battery;Large Pulse Laser Battery;1;1
Dark Blood Large Pulse Laser Battery;Megacyte;10;1
Dark Blood Large Pulse Laser Battery;Megacyte;100;1
Dark Blood Medium Beam Laser Battery;Isogen;1;1
Dark Blood Medium Beam Laser Battery;Medium Beam Laser Battery;1;1
Dark Blood Medium Beam Laser Battery;Megacyte;10;1
Dark Blood Medium Pulse Laser Battery;Isogen;7812;1
Dark Blood Medium Pulse Laser Battery;Medium Pulse Laser Battery;1;1
Dark Blood Medium Pulse Laser Battery;Megacyte;10;1
Dark Blood Small Beam Laser Battery;Isogen;3406;1
Dark Blood Small Beam Laser Battery;Megacyte;10;1
Dark Blood Small Beam Laser Battery;Small Beam Laser Battery;1;1
Dark Blood Small Pulse Laser Battery;Megacyte;10;1
Dark Blood Small Pulse Laser Battery;Small Pulse Laser Battery;1;1
Dark Blood Small Pulse Laser Battery;Tritanium;1;1
Dark Ochre Mining Crystal I;Nocxium;275;1
Dark Ochre Mining Crystal II;Dark Ochre Mining Crystal I;1;1
Dark Ochre Mining Crystal II;Hypersynaptic Fibers;11;1
Dark Ochre Mining Crystal II;Nocxium;300;1
Dark Ochre Mining Crystal II;R.A.M.- Electronics;1;0.07
Data Subverter I;Isogen;4;1
Data Subverter I;Megacyte;2;1
Data Subverter I;Mexallon;423;1
Data Subverter I;Pyerite;165;1
Data Subverter I;Tritanium;756;1
'Dealer' Light Ion Blaster I;Collision Measurements;2;1
'Dealer' Light Ion Blaster I;Current Amplifier;1;1
'Dealer' Light Ion Blaster I;Isogen;20;1
'Dealer' Light Ion Blaster I;Mexallon;75;1
'Dealer' Light Ion Blaster I;Pyerite;130;1
'Dealer' Light Ion Blaster I;Serpentis Plain Target Guider;3;1
'Dealer' Light Ion Blaster I;Tritanium;1500;1
Deep Core Mining Laser I;Electronic Parts;3;1
Deep Core Mining Laser I;Isogen;1500;1
Deep Core Mining Laser I;Mechanical Parts;2;1
Deep Core Mining Laser I;Mexallon;2025;1
Deep Core Mining Laser I;Nocxium;100;1
Deep Core Mining Laser I;Pyerite;3552;1
Deep Core Mining Laser I;Tritanium;6792;1
Deep Space Scanner Probe I;Isogen;1;1
Deep Space Scanner Probe I;Megacyte;1;1
Deep Space Scanner Probe I;Mexallon;8;1
Deep Space Scanner Probe I;Nocxium;2;1
Deep Space Scanner Probe I;Pyerite;8;1
Deep Space Scanner Probe I;Strontium Clathrates;8;1
Deep Space Scanner Probe I;Tritanium;3;1
Defender I;Mexallon;12;1
Defender I;Tritanium;58;1
Deflection Shield Emitter;Fernite Carbide;20;1
Deflection Shield Emitter;Ferrogel;1;1
Deflection Shield Emitter;Sylramic Fibers;8;1
Deimos;Construction Blocks;125;1
Deimos;Crystalline Carbonide Armor Plate;3750;1
Deimos;Fusion Reactor Unit;30;1
Deimos;Ion Thruster;50;1
Deimos;Isogen;1786;1
Deimos;Magnetometric Sensor Cluster;110;1
Deimos;Megacyte;30;1
Deimos;Mexallon;17000;1
Deimos;Morphite;100;1
Deimos;Nocxium;1111;1
Deimos;Oscillator Capacitor Unit;400;1
Deimos;Photon Microprocessor;900;1
Deimos;Pulse Shield Emitter;300;1
Deimos;Pyerite;8411;1
Deimos;R.A.M.- Starship Tech;12;0.95
Deimos;Thorax;1;1
Deimos;Tritanium;34400;1
DELETE Pimp Remote Sensor Dampener I ;Isogen;107;1
DELETE Pimp Remote Sensor Dampener I ;Mexallon;948;1
DELETE Pimp Remote Sensor Dampener I ;Pyerite;689;1
DELETE Pimp Remote Sensor Dampener I ;Tritanium;227;1
'Delineative' Warp Scrambler;Isogen;177;1
'Delineative' Warp Scrambler;Mexallon;301;1
'Delineative' Warp Scrambler;Pyerite;267;1
'Delineative' Warp Scrambler;Sleeper Cryo Batteries;1;1
'Delineative' Warp Scrambler;Sleeper Data Interface Protocol;1;1
'Delineative' Warp Scrambler;Sleeper Foundation Block;1;1
'Delineative' Warp Scrambler;Sleeper Manuscripts;1;1
'Delineative' Warp Scrambler;Sleeper Nanite Cluster;2;1
'Delineative' Warp Scrambler;Sleeper Reintegration Control;1;1
'Delineative' Warp Scrambler;Sleeper Split Cables;1;1
'Delineative' Warp Scrambler;Sleeper Virtual Energizer;2;1
'Delineative' Warp Scrambler;Tritanium;452;1
'Delineative' Warp Scrambler;Zydrine;2;1
Demo Probe Launcher;Pyerite;644;1
Demo Probe Launcher;Tritanium;424;1
Depleted Uranium L;Pyerite;522;1
Depleted Uranium L;Tritanium;412;1
Depleted Uranium M;Isogen;2;1
Depleted Uranium M;Mexallon;13;1
Depleted Uranium M;Pyerite;107;1
Depleted Uranium M;Tritanium;261;1
Depleted Uranium S;Isogen;2;1
Depleted Uranium S;Mexallon;1;1
Depleted Uranium S;Tritanium;106;1
Depleted Uranium XL;Pyerite;1044;1
Depleted Uranium XL;Pyerite;4176;1
Depleted Uranium XL;Tritanium;824;1
Depleted Uranium XL;Tritanium;3296;1
'Desert Heat' Heat Dissipation Field;Isogen;2;1
'Desert Heat' Heat Dissipation Field;Mexallon;197;1
'Desert Heat' Heat Dissipation Field;Pyerite;6739;1
'Desert Heat' Heat Dissipation Field;Talocan Automation Accounts;2;1
'Desert Heat' Heat Dissipation Field;Talocan Ignition Device;1;1
'Desert Heat' Heat Dissipation Field;Talocan Partition Plates;2;1
'Desert Heat' Heat Dissipation Field;Talocan Sketch Books;1;1
'Desert Heat' Heat Dissipation Field;Talocan Solid Atomizer;1;1
'Desert Heat' Heat Dissipation Field;Talocan Stasis Inverter;1;1
'Desert Heat' Heat Dissipation Field;Talocan System Interface Unit;1;1
'Desert Heat' Heat Dissipation Field;Tritanium;7264;1
Desolation L;Mexallon;1;1
Desolation L;Morphite;1;1
Desolation L;Pyerite;68;1
Desolation L;Tritanium;62;1
Desolation M;Mexallon;1;1
Desolation M;Morphite;1;1
Desolation M;Pyerite;68;1
Desolation M;Tritanium;62;1
Desolation S;Mexallon;1;1
Desolation S;Morphite;1;1
Desolation S;Pyerite;68;1
Desolation S;Tritanium;62;1
'Deuce' Co-Processor I;Computer Chips;3;1
'Deuce' Co-Processor I;Isogen;1;1
'Deuce' Co-Processor I;Mexallon;161;1
'Deuce' Co-Processor I;Nocxium;4;1
'Deuce' Co-Processor I;Pyerite;419;1
'Deuce' Co-Processor I;Tritanium;2158;1
Devoter;Antimatter Reactor Unit;35;1
Devoter;Construction Blocks;125;1
Devoter;Fusion Thruster;70;1
Devoter;Isogen;3307;1
Devoter;Linear Shield Emitter;275;1
Devoter;Maller;1;1
Devoter;Megacyte;41;1
Devoter;Mexallon;6988;1
Devoter;Morphite;100;1
Devoter;Nanoelectrical Microprocessor;1980;1
Devoter;Pyerite;18973;1
Devoter;R.A.M.- Starship Tech;14;0.95
Devoter;Radar Sensor Cluster;120;1
Devoter;Tesseract Capacitor Unit;440;1
Devoter;Tritanium;40414;1
Devoter;Tungsten Carbide Armor Plate;4500;1
Devoter;Zydrine;248;1
Discovery Survey Probe I;Hypersynaptic Fibers;1;1
Discovery Survey Probe I;Isogen;1;1
Discovery Survey Probe I;Megacyte;1;1
Discovery Survey Probe I;Mexallon;75;1
Discovery Survey Probe I;Mexallon;323;1
Discovery Survey Probe I;Nanotransistors;1;1
Discovery Survey Probe I;Nocxium;1;1
Discovery Survey Probe I;Pyerite;3;1
Discovery Survey Probe I;Pyerite;12;1
Discovery Survey Probe I;Strontium Clathrates;1;1
Discovery Survey Probe I;Tritanium;750;1
Discovery Survey Probe I;Tritanium;3518;1
'Distributor' Tracking Disruptor I;Internal Bulkhead;1;1
'Distributor' Tracking Disruptor I;Isogen;3;1
'Distributor' Tracking Disruptor I;Megacyte;2;1
'Distributor' Tracking Disruptor I;Mexallon;333;1
'Distributor' Tracking Disruptor I;Pyerite;139;1
'Distributor' Tracking Disruptor I;Serpentis Basic Target Guider;3;1
'Distributor' Tracking Disruptor I;Test Reports;1;1
'Distributor' Tracking Disruptor I;Tritanium;644;1
'Ditch' Medium Energy Neutralizer I;Auxiliary Parts;1;1
'Ditch' Medium Energy Neutralizer I;Blood Raider Regular Ballistic Control;3;1
'Ditch' Medium Energy Neutralizer I;Classic Doctrine;3;1
'Ditch' Medium Energy Neutralizer I;Elemental Crux;1;1
'Ditch' Medium Energy Neutralizer I;Isogen;178;1
'Ditch' Medium Energy Neutralizer I;Megacyte;3;1
'Ditch' Medium Energy Neutralizer I;Mexallon;357;1
'Ditch' Medium Energy Neutralizer I;Pyerite;190;1
'Ditch' Medium Energy Neutralizer I;Tritanium;1336;1
'Ditch' Medium Energy Neutralizer I;Zydrine;18;1
Domination Control Tower;Isogen;52500;1
Domination Control Tower;Megacyte;7875;1
Domination Control Tower;Mexallon;157500;1
Domination Control Tower;Minmatar Control Tower;1;1
Domination Control Tower;Nocxium;26250;1
Domination Control Tower;Pyerite;525000;1
Domination Control Tower;Tritanium;3150000;1
Domination Control Tower;Zydrine;21000;1
Domination Control Tower Medium;Isogen;26250;1
Domination Control Tower Medium;Megacyte;3937;1
Domination Control Tower Medium;Mexallon;78750;1
Domination Control Tower Medium;Minmatar Control Tower Medium;1;1
Domination Control Tower Medium;Nocxium;13125;1
Domination Control Tower Medium;Pyerite;262500;1
Domination Control Tower Medium;Tritanium;1575000;1
Domination Control Tower Medium;Zydrine;10500;1
Domination Control Tower Small;Isogen;13125;1
Domination Control Tower Small;Megacyte;1968;1
Domination Control Tower Small;Mexallon;39375;1
Domination Control Tower Small;Minmatar Control Tower Small;1;1
Domination Control Tower Small;Nocxium;6562;1
Domination Control Tower Small;Pyerite;131250;1
Domination Control Tower Small;Tritanium;787500;1
Domination Control Tower Small;Zydrine;5250;1
Domination Heavy Assault Missile Launcher;Nocxium;6;1
Domination Heavy Assault Missile Launcher;Pyerite;2633;1
Domination Heavy Assault Missile Launcher;Tritanium;2932;1
Domination Heavy Assault Missile Launcher;Zydrine;2;1
Domination Large Artillery Battery;Isogen;4;1
Domination Large Artillery Battery;Isogen;1000;1
Domination Large Artillery Battery;Large Artillery Battery;1;1
Domination Large Artillery Battery;Megacyte;5;1
Domination Large Artillery Battery;Megacyte;122;1
Domination Large AutoCannon Battery;Isogen;1;1
Domination Large AutoCannon Battery;Isogen;1000;1
Domination Large AutoCannon Battery;Large AutoCannon Battery;1;1
Domination Large AutoCannon Battery;Megacyte;5;1
Domination Medium Artillery Battery;Isogen;1;1
Domination Medium Artillery Battery;Isogen;1000;1
Domination Medium Artillery Battery;Medium Artillery Battery;1;1
