typeName;wasteFactor;maxProductionLimit;techLevel;(No column name)
Dark Blood Control Tower Small;0;5;1;Amarr Control Tower Small
Dark Blood Energy Neutralizing Battery;10;5;1;Energy Neutralizing Battery
Dark Blood Large Beam Laser Battery;10;3;1;Large Beam Laser Battery
Dark Blood Large Pulse Laser Battery;10;3;1;Large Pulse Laser Battery
Dark Blood Medium Beam Laser Battery;10;3;1;Medium Beam Laser Battery
Dark Blood Medium Pulse Laser Battery;10;3;1;Medium Pulse Laser Battery
Dark Blood Small Beam Laser Battery;10;3;1;Small Beam Laser Battery
Dark Blood Small Pulse Laser Battery;10;3;1;Small Pulse Laser Battery
Dark Ochre Mining Crystal I;10;100;1;NULL
Dark Ochre Mining Crystal II;10;100;2;Dark Ochre Mining Crystal I
Data Subverter I;10;1000;1;NULL
'Dealer' Light Ion Blaster I;10;1000;1;Light Ion Blaster I
Deep Core Mining Laser I;10;100;2;NULL
Deep Space Scanner Probe I;5;1000;1;NULL
Defender I;10;1500;1;NULL
Deflection Shield Emitter;10;1000;2;NULL
Deimos;10;10;2;Thorax
'Delineative' Warp Scrambler;10;1000;1;Warp Scrambler I
Depleted Uranium L;10;1500;1;NULL
Depleted Uranium M;10;1500;1;NULL
Depleted Uranium S;10;1500;1;NULL
Depleted Uranium XL;10;1000;1;NULL
'Desert Heat' Heat Dissipation Field;10;1000;2;Heat Dissipation Field I
'Deuce' Co-Processor I;10;1000;2;Co-Processor I
Devoter;10;10;2;Maller
Discovery Survey Probe I;5;1000;1;NULL
'Distributor' Tracking Disruptor I;10;1000;1;Tracking Disruptor I
'Ditch' Medium Energy Neutralizer I;10;1000;1;Medium Energy Neutralizer I
Domination Control Tower;0;5;1;Minmatar Control Tower
Domination Control Tower Medium;0;5;1;Minmatar Control Tower Medium
Domination Control Tower Small;0;5;1;Minmatar Control Tower Small
Domination Large Artillery Battery;10;3;1;Large Artillery Battery
Domination Large AutoCannon Battery;10;3;1;Large AutoCannon Battery
Domination Medium Artillery Battery;10;3;1;Medium Artillery Battery
Domination Medium AutoCannon Battery;10;3;1;Medium AutoCannon Battery
Domination Small Artillery Battery;10;3;1;Small Artillery Battery
Domination Small AutoCannon Battery;10;3;1;Small AutoCannon Battery
Domination Stasis Webification Battery;10;5;1;Stasis Webification Battery
Dominix;10;10;1;NULL
Dragon F.O.F. Cruise Missile I;10;1500;1;NULL
Dragonfly;10;10;1;NULL
Drake;10;15;1;NULL
Dramiel;10;30;1;NULL
Dread Guristas Citadel Torpedo Battery;10;3;1;Citadel Torpedo Battery
Dread Guristas Control Tower;0;5;1;Caldari Control Tower
Dread Guristas Control Tower Medium;0;5;1;Caldari Control Tower Medium
Dread Guristas Control Tower Small;0;5;1;Caldari Control Tower Small
Dread Guristas Cruise Missile Battery;10;3;1;Cruise Missile Battery
Dread Guristas Ion Field Projection Battery;10;5;1;Ion Field Projection Battery
Dread Guristas Phase Inversion Battery;10;3;1;Phase Inversion Battery
Dread Guristas Spatial Destabilization Battery;10;5;1;Spatial Destabilization Battery
Dread Guristas Torpedo Battery;10;3;1;Torpedo Battery
Dread Guristas White Noise Generation Battery;10;5;1;White Noise Generation Battery
Drone Assembly Array;10;5;1;NULL
Drone Control Unit I;10;10;1;NULL
Drone Link Augmentor I;10;300;1;NULL
Drone Link Augmentor II;10;100;2;Drone Link Augmentor I
Drone Navigation Computer I;10;300;1;NULL
Drone Navigation Computer II;10;100;2;Drone Navigation Computer I
Drug Lab;10;5;1;NULL
Dual 1000mm Railgun I;10;10;1;NULL
Dual 1000mm 'Scout' Accelerator Cannon;10;1000;1;Dual 1000mm Railgun I
Dual 150mm Railgun I;10;300;1;NULL
Dual 150mm Railgun II;10;100;2;Dual 150mm Railgun I
Dual 180mm AutoCannon I;10;300;1;NULL
Dual 180mm AutoCannon II;10;100;2;Dual 180mm AutoCannon I
Dual 250mm Railgun I;10;300;1;NULL
Dual 250mm Railgun II;10;100;2;Dual 250mm Railgun I
Dual 425mm AutoCannon I;10;300;1;NULL
Dual 425mm AutoCannon II;10;100;2;Dual 425mm AutoCannon I
Dual 650mm Repeating Artillery I;10;300;1;NULL
Dual 650mm Repeating Artillery II;10;100;2;Dual 650mm Repeating Artillery I
Dual Giga Beam Laser I;10;10;1;NULL
Dual Giga Modal Laser I;10;1000;1;Dual Giga Beam Laser I
Dual Giga Pulse Laser I;10;10;1;NULL
Dual Heavy Beam Laser I;10;300;1;NULL
Dual Heavy Beam Laser II;10;100;2;Dual Heavy Beam Laser I
Dual Heavy Pulse Laser I;10;300;1;NULL
Dual Heavy Pulse Laser II;10;100;2;Dual Heavy Pulse Laser I
Dual Light Beam Laser I;10;300;1;NULL
Dual Light Beam Laser II;10;100;2;Dual Light Beam Laser I
Dual Light Pulse Laser I;10;300;1;NULL
Dual Light Pulse Laser II;10;100;2;Dual Light Pulse Laser I
Dual Modal Giga Pulse Laser I;10;1000;1;Dual Giga Pulse Laser I
'Dyad' Co-Processor I;10;1000;2;Co-Processor I
Eagle;10;10;2;Moa
ECCM - Gravimetric I;10;300;1;NULL
ECCM - Gravimetric II;10;100;2;ECCM - Gravimetric I
ECCM - Ladar I;10;300;1;NULL
ECCM - Ladar II;10;100;2;ECCM - Ladar I
ECCM - Magnetometric I;10;300;1;NULL
ECCM - Magnetometric II;10;100;2;ECCM - Magnetometric I
ECCM - Omni I;10;300;1;NULL
ECCM - Omni II;10;100;2;ECCM - Omni I
ECCM - Radar I;10;300;1;NULL
ECCM - Radar II;10;100;2;ECCM - Radar I
ECCM Projector I;10;300;1;NULL
ECCM Projector II;10;100;2;ECCM Projector I
Echelon;10;1000;1;NULL
ECM - Ion Field Projector I;10;300;1;NULL
ECM - Ion Field Projector II;10;100;2;ECM - Ion Field Projector I
ECM - Multispectral Jammer I;10;300;1;NULL
ECM - Multispectral Jammer II;10;100;2;ECM - Multispectral Jammer I
ECM - Phase Inverter I;10;300;1;NULL
ECM - Phase Inverter II;10;100;2;ECM - Phase Inverter I
ECM - Spatial Destabilizer I;10;300;1;NULL
ECM - Spatial Destabilizer II;10;100;2;ECM - Spatial Destabilizer I
ECM - White Noise Generator I;10;300;1;NULL
ECM - White Noise Generator II;10;100;2;ECM - White Noise Generator I
ECM Burst I;10;300;1;NULL
ECM Burst II;10;100;2;ECM Burst I
'Economist' Tracking Computer I;10;1000;1;Tracking Computer I
Einherji;10;10;1;NULL
Electrolytic Capacitor Unit;10;1000;2;NULL
Electromechanical Interface Nexus;10;1000;3;NULL
Electron Blaster Cannon I;10;300;1;NULL
Electron Blaster Cannon II;10;100;2;Electron Blaster Cannon I
Electron Bomb;10;300;1;NULL
EM Pulse Generator;10;1000;2;NULL
Emergent Neurovisual Interface;10;1000;3;NULL
EMP L;10;1500;1;NULL
EMP M;10;1500;1;NULL
EMP S;10;1500;1;NULL
EMP XL;10;1000;1;NULL
Energized Adaptive Nano Membrane I;10;300;1;NULL
Energized Adaptive Nano Membrane II;10;100;2;Energized Adaptive Nano Membrane I
Energized Basic Adaptive Nano Plating;10;300;1;NULL
Energized Basic Magnetic Plating;10;300;1;NULL
Energized Basic Reactive Plating;10;300;1;NULL
Energized Basic Reflective Plating;10;300;1;NULL
Energized Basic Regenerative Plating;10;300;1;NULL
Energized Basic Thermic Plating;10;300;1;NULL
Energized Magnetic Membrane I;10;300;1;NULL
Energized Magnetic Membrane II;10;100;2;Energized Magnetic Membrane I
Energized Reactive Membrane I;10;300;1;NULL
Energized Reactive Membrane II;10;100;2;Energized Reactive Membrane I
Energized Reflective Membrane I;10;300;1;NULL
Energized Reflective Membrane II;10;100;2;Energized Reflective Membrane I
Energized Regenerative Membrane I;10;300;1;NULL
Energized Regenerative Membrane II;10;100;2;Energized Regenerative Membrane I
Energized Thermic Membrane I;10;300;1;NULL
Energized Thermic Membrane II;10;100;2;Energized Thermic Membrane I
Energy Neutralizing Battery;10;5;1;NULL
'Enterprise' Tracking Link I;10;1000;1;Tracking Link I
'Entrepreneur' Remote Sensor Booster I;10;1000;1;Remote Sensor Booster I
Enyo;10;10;2;Incursus
Eos;10;10;2;Brutix
Equipment Assembly Array;10;5;1;NULL
Eradicator F.O.F. Heavy Missile I;10;1500;1;NULL
Erebus;10;1;1;NULL
Eris;10;10;2;Catalyst
Esoteric Data Interface;10;10;1;NULL
Esoteric Ship Data Interface;10;10;1;NULL
Esoteric Tuner Data Interface;10;10;1;NULL
Executioner;10;30;1;NULL
'Executive' Remote Sensor Dampener I;10;1000;1;Remote Sensor Dampener I
Exequror;10;15;1;NULL
Exequror Navy Issue;10;15;1;Exequror
Expanded Cargohold I;10;300;1;NULL
Expanded Cargohold II;10;100;2;Expanded Cargohold I
Expanded Probe Launcher I;10;300;1;NULL
Expanded Probe Launcher II;10;100;2;Expanded Probe Launcher I
Experimental Laboratory;10;5;1;NULL
Explosion Dampening Amplifier I;10;300;1;NULL
Explosion Dampening Amplifier II;10;100;2;Explosion Dampening Amplifier I
Explosion Dampening Array;10;5;1;NULL
Explosion Dampening Field I;10;300;1;NULL
Explosion Dampening Field II;10;100;2;Explosion Dampening Field I
Exterminator F.O.F. Light Missile I;10;1500;1;NULL
Falcon;10;10;2;Blackbird
Federation Navy 100MN Afterburner;10;1000;1;100MN Afterburner I
Federation Navy 100MN MicroWarpdrive;10;1000;1;100MN MicroWarpdrive I
Federation Navy 10MN Afterburner;10;1000;1;10MN Afterburner I
Federation Navy 10MN MicroWarpdrive;10;1000;1;10MN MicroWarpdrive I
Federation Navy 1MN Afterburner;10;1000;1;1MN Afterburner I
Federation Navy 1MN MicroWarpdrive;10;1000;1;1MN MicroWarpdrive I
Federation Navy 200mm Railgun;10;1000;1;200mm Railgun I
Federation Navy 350mm Railgun;10;1000;1;350mm Railgun I
Federation Navy Adaptive Nano Plating;10;1000;1;Adaptive Nano Plating I
Federation Navy Armor EM Hardener;10;1000;1;Armor EM Hardener I
Federation Navy Armor Explosive Hardener;10;1000;1;Armor Explosive Hardener I
Federation Navy Armor Kinetic Hardener;10;1000;1;Armor Kinetic Hardener I
Federation Navy Armor Thermic Hardener;10;1000;1;Armor Thermic Hardener I
Federation Navy Comet;10;30;1;NULL
Federation Navy Co-Processor;10;1000;1;Co-Processor I
Federation Navy Energized Adaptive Nano Membrane;10;1000;1;Energized Adaptive Nano Membrane I
Federation Navy Energized Magnetic Membrane;10;1000;1;Energized Magnetic Membrane I
Federation Navy Energized Reactive Membrane;10;1000;1;Energized Reactive Membrane I
Federation Navy Energized Reflective Membrane;10;1000;1;Energized Reflective Membrane I
Federation Navy Energized Thermic Membrane;10;1000;1;Energized Thermic Membrane I
Federation Navy Large Plasma Smartbomb;10;1000;1;Large Plasma Smartbomb I
Federation Navy Magnetic Field Stabilizer;10;1000;1;Magnetic Field Stabilizer I
Federation Navy Magnetic Plating;10;1000;1;Magnetic Plating I
Federation Navy Medium Plasma Smartbomb;10;1000;1;Medium Plasma Smartbomb I
Federation Navy Reactive Plating;10;1000;1;Reactive Plating I
Federation Navy Reflective Plating;10;1000;1;Reflective Plating I
Federation Navy Sensor Booster;10;1000;1;Sensor Booster I
Federation Navy Small Plasma Smartbomb;10;1000;1;Small Plasma Smartbomb I
Federation Navy Stasis Webifier;10;1000;1;Stasis Webifier I
Federation Navy Thermic Plating;10;1000;1;Thermic Plating I
Federation Navy Tracking Computer;10;1000;1;Tracking Computer I
Federation Navy Tracking Link;10;1000;1;Tracking Link I
'Felon' Ion Blaster Cannon I;10;1000;1;Ion Blaster Cannon I
Fenrir;10;1;1;NULL
Fernite Carbide Composite Armor Plate;10;1000;2;NULL
Ferox;10;15;1;NULL
Firbolg;10;10;1;NULL
Firefly F.O.F. Light Missile I;10;1500;1;NULL
Flycatcher;10;10;2;Cormorant
Focused Medium Beam Laser I;10;300;1;NULL
Focused Medium Beam Laser II;10;100;2;Focused Medium Beam Laser I
Focused Medium Pulse Laser I;10;300;1;NULL
Focused Medium Pulse Laser II;10;100;2;Focused Medium Pulse Laser I
Focused Warp Disruption;10;1000;1;NULL
'Forger' ECCM - Magnetometric I;10;1000;1;ECCM - Magnetometric I
'Full Duplex' Ballistic Targeting System;10;1000;1;Ballistic Control System I
Fullerene Intercalated Sheets;10;1000;3;NULL
Fulleroferrocene Power Conduits;10;1000;3;NULL
Fusion L;10;1500;1;NULL
Fusion M;10;1500;1;NULL
Fusion Reactor Unit;10;1000;2;NULL
Fusion S;10;1500;1;NULL
Fusion Thruster;10;1000;2;NULL
Fusion XL;10;1000;1;NULL
Gallente Administrative Outpost Platform;10;1;1;NULL
Gallente Control Tower;10;5;1;NULL
Gallente Control Tower Medium;10;5;1;NULL
Gallente Control Tower Small;10;5;1;NULL
Gallente Fuel Block;5;300;1;NULL
Gallente Shuttle;10;30;1;NULL
'Gallows' Standard Missile Launcher;10;1000;2;Standard Missile Launcher I
'Gambler' Phase Inverter;10;1000;2;ECM - Phase Inverter I
Gamma L;10;1500;1;NULL
Gamma M;10;1500;1;NULL
Gamma S;10;1500;1;NULL
Gamma XL;10;1000;1;NULL
Garde I;10;1500;1;NULL
Garde II;10;100;2;Garde I
Gas Cloud Harvester I;10;300;1;NULL
Gas Cloud Harvester II;10;100;2;Gas Cloud Harvester I
Gatling Pulse Laser I;10;300;1;NULL
Gatling Pulse Laser II;10;100;2;Gatling Pulse Laser I
'Gauntlet' Medium Beam Laser I;10;1000;1;Medium Beam Laser I
Gaze Survey Probe I;5;1000;1;NULL
General Storage;10;5;1;NULL
'Ghost' ECM Burst;10;1000;2;ECM Burst I
Ghost Heavy Missile;10;1000;1;NULL
Gila;10;15;1;Moa
Gjallarhorn;10;1;1;NULL
Gleam L;10;100;2;Multifrequency L
Gleam M;10;100;2;Multifrequency M
Gleam S;10;100;2;Multifrequency S
'Glycerine' Shield Boost Amplifier;10;300;1;Shield Boost Amplifier I
Gneiss Mining Crystal I;10;100;1;NULL
Gneiss Mining Crystal II;10;100;2;Gneiss Mining Crystal I
Golem;10;10;2;Raven
'Gonzo' Damage Control I;10;1000;1;Damage Control I
'Gorget' Small Armor Repairer I;10;1000;1;Small Armor Repairer I
Gravimetric Backup Array I;10;300;1;NULL
Gravimetric Backup Array II;10;100;2;Gravimetric Backup Array I
Gravimetric Firewall;10;1000;1;Gravimetric Backup Array I
Gravimetric Sensor Cluster;10;1000;2;NULL
Graviton Pulse Generator;10;1000;2;NULL
Graviton Reactor Unit;10;1000;2;NULL
'Greaves' Medium Armor Repairer I;10;1000;1;Medium Armor Repairer I
Griffin;10;30;1;NULL
Guardian;10;10;2;Augoror
Guardian-Vexor;10;15;1;Vexor
Guristas Citadel Torpedo Battery;10;3;1;Citadel Torpedo Battery
Guristas Control Tower;0;5;1;Caldari Control Tower
Guristas Control Tower Medium;0;5;1;Caldari Control Tower Medium
Guristas Control Tower Small;0;5;1;Caldari Control Tower Small
Guristas Cruise Missile Battery;10;3;1;Cruise Missile Battery
Guristas Ion Field Projection Battery;10;5;1;Ion Field Projection Battery
Guristas Phase Inversion Battery;10;5;1;Phase Inversion Battery
Guristas Spatial Destabilization Battery;10;5;1;Spatial Destabilization Battery
Guristas Torpedo Battery;10;3;1;Torpedo Battery
Guristas White Noise Generation Battery;10;5;1;White Noise Generation Battery
Gyrostabilizer I;10;300;1;NULL
Gyrostabilizer II;10;100;2;Gyrostabilizer I
Hail L;10;100;2;Depleted Uranium L
Hail M;10;100;2;Depleted Uranium M
Hail S;10;100;2;Depleted Uranium S
'Halberd' Mega Pulse Laser I;10;1000;1;Mega Pulse Laser I
Hammerhead I;10;1500;1;NULL
Hammerhead II;10;100;2;Hammerhead I
Hammerhead SD-600;10;1500;1;NULL
Harbinger;10;15;1;NULL
'Harmony' Small Armor Repairer I;10;1000;1;Small Armor Repairer I
'Harness' Medium Capacitor Booster I;10;1000;1;Medium Capacitor Booster I
Harpy;10;10;2;Merlin
'Hauberk' Large Armor Repairer I;10;1000;1;Large Armor Repairer I
Hawk;10;10;2;Merlin
Hazardous Chemical Silo;10;5;1;NULL
Heat Dissipation Amplifier I;10;300;1;NULL
Heat Dissipation Amplifier II;10;100;2;Heat Dissipation Amplifier I
Heat Dissipation Array;10;5;1;NULL
Heat Dissipation Field I;10;300;1;NULL
Heat Dissipation Field II;10;100;2;Heat Dissipation Field I
Heat Sink I;10;300;1;NULL
Heat Sink II;10;100;2;Heat Sink I
Heavy Armor Maintenance Bot I;10;1500;1;NULL
Heavy Armor Maintenance Bot II;10;100;2;Heavy Armor Maintenance Bot I
Heavy Assault Missile Launcher I;10;300;1;NULL
Heavy Assault Missile Launcher II;10;100;2;Heavy Assault Missile Launcher I
Heavy Beam Laser I;10;300;1;NULL
Heavy Beam Laser II;10;100;2;Heavy Beam Laser I
Heavy 'Brave' Capacitor Booster;10;1000;2;Heavy Capacitor Booster I
Heavy Capacitor Booster I;10;300;1;NULL
Heavy Capacitor Booster II;10;100;2;Heavy Capacitor Booster I
Heavy Electron Blaster I;10;300;1;NULL
Heavy Electron Blaster II;10;100;2;Heavy Electron Blaster I
Heavy Energy Neutralizer I;10;300;1;NULL
Heavy Energy Neutralizer II;10;100;2;Heavy Energy Neutralizer I
Heavy Ion Blaster I;10;300;1;NULL
Heavy Ion Blaster II;10;100;2;Heavy Ion Blaster I
Heavy Missile Launcher I;10;300;1;NULL
Heavy Missile Launcher II;10;100;2;Heavy Missile Launcher I
Heavy Neutron Blaster I;10;300;1;NULL
Heavy Neutron Blaster II;10;100;2;Heavy Neutron Blaster I
Heavy Nosferatu I;10;300;1;NULL
Heavy Nosferatu II;10;100;2;Heavy Nosferatu I
Heavy Pulse Laser I;10;300;1;NULL
Heavy Pulse Laser II;10;100;2;Heavy Pulse Laser I
Heavy Shield Maintenance Bot I;10;1500;1;NULL
Heavy Shield Maintenance Bot II;10;100;2;Heavy Shield Maintenance Bot I
Hedbergite Mining Crystal I;10;100;1;NULL
Hedbergite Mining Crystal II;10;100;2;Hedbergite Mining Crystal I
'Heist' White Noise Generator;10;1000;2;ECM - White Noise Generator I
Hel;10;1;1;NULL
Helios;10;10;2;Imicus
Hellhound F.O.F. Heavy Missile I;10;1500;1;NULL
Hemorphite Mining Crystal I;10;100;1;NULL
Hemorphite Mining Crystal II;10;100;2;Hemorphite Mining Crystal I
Heretic;10;10;2;Coercer
Heron;10;30;1;NULL
High Noon Heat Dissipation Amplifier;10;1000;2;Heat Dissipation Amplifier I
Hoarder;10;15;1;NULL
Hobgoblin I;10;1500;1;NULL
Hobgoblin II;10;100;2;Hobgoblin I
Hobgoblin SD-300;10;1500;1;NULL
'Hooligan' Heavy Ion Blaster I;10;1000;1;Heavy Ion Blaster I
Hornet EC-300;10;1500;1;NULL
Hornet I;10;1500;1;NULL
Hornet II;10;100;2;Hornet I
Hound;10;10;2;Breacher
Huginn;10;10;2;Bellicose
Hulk;10;10;2;Covetor
Hunter F.O.F. Cruise Missile I;10;1500;1;NULL
Hurricane;10;15;1;NULL
'Hustler' Heavy Neutron Blaster I;10;1000;1;Heavy Neutron Blaster I
Hybrid Polymer Silo;10;5;1;NULL
Hydra F.O.F. Heavy Missile I;10;1500;1;NULL
Hyena;10;10;2;Vigil
Hyperion;10;10;1;NULL
Ice Harvester I;10;300;1;NULL
Ice Harvester II;10;100;2;Ice Harvester I
Ice Harvester Upgrade I;10;300;1;NULL
Ice Harvester Upgrade II;10;100;2;Ice Harvester Upgrade I
Imicus;10;30;1;NULL
Impel;10;10;2;Bestower
Imperial Navy Adaptive Nano Plating;10;1000;1;Adaptive Nano Plating I
Imperial Navy Armor EM Hardener;10;1000;1;Armor EM Hardener I
Imperial Navy Armor Explosive Hardener;10;1000;1;Armor Explosive Hardener I
Imperial Navy Armor Kinetic Hardener;10;1000;1;Armor Kinetic Hardener I
Imperial Navy Armor Thermic Hardener;10;1000;1;Armor Thermic Hardener I
Imperial Navy Cap Recharger;10;1000;1;Cap Recharger I
Imperial Navy Capacitor Power Relay;10;1000;1;Capacitor Power Relay I
Imperial Navy Energized Adaptive Nano Membrane;10;1000;1;Energized Adaptive Nano Membrane I
Imperial Navy Energized Magnetic Membrane;10;1000;1;Energized Magnetic Membrane I
Imperial Navy Energized Reactive Membrane;10;1000;1;Energized Reactive Membrane I
Imperial Navy Energized Reflective Membrane;10;1000;1;Energized Reflective Membrane I
Imperial Navy Energized Thermic Membrane;10;1000;1;Energized Thermic Membrane I
Imperial Navy Heat Sink;10;1000;1;Heat Sink I
Imperial Navy Heavy Capacitor Booster;10;1000;1;Heavy Capacitor Booster I
Imperial Navy Heavy Energy Neutralizer;10;1000;1;Heavy Energy Neutralizer I
Imperial Navy Heavy Nosferatu;10;1000;1;Heavy Nosferatu I
Imperial Navy Large EMP Smartbomb;10;1000;1;Large EMP Smartbomb I
Imperial Navy Magnetic Plating;10;1000;1;Magnetic Plating I
Imperial Navy Medium Capacitor Booster;10;1000;1;Medium Capacitor Booster I
Imperial Navy Medium EMP Smartbomb;10;1000;1;Medium EMP Smartbomb I
Imperial Navy Medium Energy Neutralizer;10;1000;1;Medium Energy Neutralizer I
Imperial Navy Medium Nosferatu;10;1000;1;Medium Nosferatu I
Imperial Navy Micro Capacitor Booster;10;1000;1;NULL
Imperial Navy Micro EMP Smartbomb;10;1000;1;NULL
Imperial Navy Reactive Plating;10;1000;1;Reactive Plating I
Imperial Navy Reflective Plating;10;1000;1;Reflective Plating I
Imperial Navy Slicer;10;30;1;NULL
Imperial Navy Small Capacitor Booster;10;1000;1;Small Capacitor Booster I
Imperial Navy Small EMP Smartbomb;10;1000;1;Small EMP Smartbomb I
Imperial Navy Small Energy Neutralizer;10;1000;1;Small Energy Neutralizer I
Imperial Navy Small Nosferatu;10;1000;1;Small Nosferatu I
Imperial Navy Thermic Plating;10;1000;1;Thermic Plating I
Improved Blue Pill Booster;10;1000;1;NULL
Improved Cloaking Device II;10;100;2;Prototype Cloaking Device I
Improved Crash Booster;10;1000;1;NULL
Improved Drop Booster;10;1000;1;NULL
Improved Exile Booster;10;1000;1;NULL
Improved Frentix Booster;10;1000;1;NULL
Improved 'Guise' Cloaking Device II;10;1000;2;Prototype Cloaking Device I
Improved Mindflood Booster;10;1000;1;NULL
Improved Sooth Sayer Booster;10;1000;1;NULL
Improved X-Instinct Booster;10;1000;1;NULL
'Inception' Target Painter I;10;1000;1;Target Painter I
Incognito Data Interface;10;10;1;NULL
Incognito Ship Data Interface;10;10;1;NULL
Incognito Tuner Data Interface;10;10;1;NULL
Incursus;10;30;1;NULL
Industrial Core I;10;10;1;NULL
Inertia Stabilizers I;10;300;1;NULL
Inertia Stabilizers II;10;100;2;Inertia Stabilizers I
Inferno Assault Missile;10;1500;1;NULL
Inferno Citadel Cruise Missile;10;1000;1;NULL
Inferno Citadel Torpedo;10;1000;1;NULL
Inferno Cruise Missile;10;1500;1;NULL
Inferno Fury Cruise Missile;10;100;2;Inferno Cruise Missile
Inferno Fury Heavy Missile;10;100;2;Inferno Heavy Missile
Inferno Fury Light Missile;10;100;2;Inferno Light Missile
Inferno Heavy Missile;10;1500;1;NULL
Inferno Javelin Assault Missile;10;100;2;Inferno Assault Missile
Inferno Javelin Rocket;10;100;2;Inferno Rocket
Inferno Javelin Torpedo;10;100;2;Inferno Torpedo
Inferno Light Missile;10;1500;1;NULL
Inferno Precision Cruise Missile;10;100;2;Inferno Cruise Missile
Inferno Precision Heavy Missile;10;100;2;Inferno Heavy Missile
Inferno Precision Light Missile;10;100;2;Inferno Light Missile
Inferno Rage Assault Missile;10;100;2;Inferno Assault Missile
Inferno Rage Rocket;10;100;2;Inferno Rocket
Inferno Rage Torpedo;10;100;2;Inferno Torpedo
Inferno Rocket;10;1500;1;NULL
Inferno Torpedo;10;1500;1;NULL
Infiltrator EV-600;10;1500;1;NULL
Infiltrator I;10;1500;1;NULL
Infiltrator II;10;100;2;Infiltrator I
Infiltrator TD-600;10;1500;1;NULL
Information Warfare Link - Electronic Superiority I;5;300;1;NULL
Information Warfare Link - Electronic Superiority II;5;100;2;Information Warfare Link - Electronic Superiority I
Information Warfare Link - Recon Operation I;5;300;1;NULL
Information Warfare Link - Recon Operation II;5;100;2;Information Warfare Link - Recon Operation I
Information Warfare Link - Sensor Integrity I;5;300;1;NULL
Information Warfare Link - Sensor Integrity II;5;100;2;Information Warfare Link - Sensor Integrity I
Infrared L;10;1500;1;NULL
Infrared M;10;1500;1;NULL
Infrared S;10;1500;1;NULL
Infrared XL;10;1000;1;NULL
Infrastructure Hub;10;5;1;NULL
Inquisitor;10;30;1;NULL
'Integrated' Acolyte;10;1000;1;Acolyte I
'Integrated' Berserker;10;1000;1;Berserker I
'Integrated' Hammerhead;10;1000;1;Hammerhead I
'Integrated' Hobgoblin;10;1000;1;Hobgoblin I
'Integrated' Hornet;10;1000;1;Hornet I
'Integrated' Infiltrator;10;1000;1;Infiltrator I
'Integrated' Ogre;10;1000;1;Ogre I
'Integrated' Praetor;10;1000;1;Praetor I
'Integrated' Valkyrie;10;1000;1;Valkyrie I
'Integrated' Vespa;10;1000;1;Vespa I
'Integrated' Warrior;10;1000;1;Warrior I
'Integrated' Wasp;10;1000;1;Wasp I
Intensive Refining Array;10;5;1;NULL
Interbus Shuttle;10;1000;1;NULL
Interdiction Sphere Launcher I;10;300;1;NULL
'Investor' Tracking Disruptor I;10;1000;1;Tracking Disruptor I
Invulnerability Field I;10;300;1;NULL
Invulnerability Field II;10;100;2;Invulnerability Field I
Ion Blaster Cannon I;10;300;1;NULL
Ion Blaster Cannon II;10;100;2;Ion Blaster Cannon I
Ion Field Projection Battery;10;5;1;NULL
Ion Siege Blaster Cannon I;10;10;1;NULL
Ion Thruster;10;1000;2;NULL
Iridium Charge L;10;1500;1;NULL
Iridium Charge M;10;1500;1;NULL
Iridium Charge S;10;1500;1;NULL
Iridium Charge XL;10;1000;1;NULL
Iron Charge L;10;1500;1;NULL
Iron Charge M;10;1500;1;NULL
Iron Charge S;10;1500;1;NULL
Iron Charge XL;10;1000;1;NULL
Ishkur;10;10;2;Incursus
Ishtar;10;10;2;Vexor
Iteron;10;15;1;NULL
Iteron Mark II;10;15;1;NULL
Iteron Mark III;10;15;1;NULL
Iteron Mark IV;10;15;1;NULL
Iteron Mark V;10;15;1;NULL
Jaguar;10;10;2;Rifter
Jaspet Mining Crystal I;10;100;1;NULL
Jaspet Mining Crystal II;10;100;2;Jaspet Mining Crystal I
Javelin L;10;100;2;Iridium Charge L
Javelin M;10;100;2;Iridium Charge M
Javelin S;10;100;2;Iridium Charge S
'Joust' Heavy Pulse Laser I;10;1000;1;Heavy Pulse Laser I
Judgement;10;1;1;NULL
Jump Bridge;10;5;1;NULL
Jump Portal Generator I;10;1;1;NULL
Keres;10;10;2;Maulus
Kernite Mining Crystal I;10;100;1;NULL
Kernite Mining Crystal II;10;100;2;Kernite Mining Crystal I
Kestrel;10;30;1;NULL
Khanid Navy Adaptive Nano Plating;10;1000;1;Adaptive Nano Plating I
Khanid Navy Armor EM Hardener;10;1000;1;Armor EM Hardener I
Khanid Navy Armor Explosive Hardener;10;1000;1;Armor Explosive Hardener I
Khanid Navy Armor Kinetic Hardener;10;1000;1;Armor Kinetic Hardener I
Khanid Navy Armor Thermic Hardener;10;1000;1;Armor Thermic Hardener I
Khanid Navy Ballistic Control System;10;1000;1;Ballistic Control System I
Khanid Navy Cap Recharger;10;1000;1;Cap Recharger I
Khanid Navy Capacitor Power Relay;10;1000;1;Capacitor Power Relay I
Khanid Navy Co-Processor;10;1000;1;Co-Processor I
Khanid Navy Energized Adaptive Nano Membrane;10;1000;1;Energized Adaptive Nano Membrane I
Khanid Navy Energized Magnetic Membrane;10;1000;1;Energized Magnetic Membrane I
Khanid Navy Energized Reactive Membrane;10;1000;1;Energized Reactive Membrane I
Khanid Navy Energized Reflective Membrane;10;1000;1;Energized Reflective Membrane I
