typeName;typeName;quantity;typeName;(No column name)
Ice Harvester Upgrade II;Datacore - Laser Physics;2;Laser Physics;NULL
Ice Harvester Upgrade II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Impel;Occult Ship Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Impel;Datacore - Amarrian Starship Engineering;8;Amarrian Starship Engineering;NULL
Impel;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Improved Cloaking Device II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Improved Cloaking Device II;Datacore - Quantum Physics;2;Quantum Physics;NULL
Improved Cloaking Device II;Datacore - Graviton Physics;2;Graviton Physics;NULL
Inertia Stabilizers II;Datacore - Molecular Engineering;1;Molecular Engineering;NULL
Inertia Stabilizers II;Datacore - Nanite Engineering;1;Nanite Engineering;NULL
Inertia Stabilizers II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Inferno Fury Cruise Missile;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Fury Cruise Missile;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Fury Cruise Missile;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Fury Heavy Missile;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Fury Heavy Missile;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Fury Heavy Missile;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Fury Light Missile;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Fury Light Missile;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Fury Light Missile;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Javelin Assault Missile;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Javelin Assault Missile;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Javelin Assault Missile;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Javelin Rocket;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Javelin Rocket;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Javelin Rocket;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Javelin Torpedo;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Javelin Torpedo;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Javelin Torpedo;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Precision Cruise Missile;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Precision Cruise Missile;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Precision Cruise Missile;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Precision Heavy Missile;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Precision Heavy Missile;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Precision Heavy Missile;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Precision Light Missile;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Precision Light Missile;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Precision Light Missile;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Rage Assault Missile;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Rage Assault Missile;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Rage Assault Missile;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Rage Rocket;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Rage Rocket;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Rage Rocket;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Inferno Rage Torpedo;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
Inferno Rage Torpedo;Datacore - Rocket Science;1;Rocket Science;NULL
Inferno Rage Torpedo;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Infiltrator II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Infiltrator II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Infiltrator II;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Information Warfare Link - Electronic Superiority II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Information Warfare Link - Electronic Superiority II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Information Warfare Link - Electronic Superiority II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Information Warfare Link - Recon Operation II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Information Warfare Link - Recon Operation II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Information Warfare Link - Recon Operation II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Information Warfare Link - Sensor Integrity II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Information Warfare Link - Sensor Integrity II;Datacore - Electromagnetic Physics;2;Electromagnetic Physics;NULL
Information Warfare Link - Sensor Integrity II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Invulnerability Field II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Invulnerability Field II;Datacore - Hydromagnetic Physics;2;Hydromagnetic Physics;NULL
Invulnerability Field II;Datacore - Quantum Physics;2;Quantum Physics;NULL
Ion Blaster Cannon II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Ion Blaster Cannon II;Datacore - Plasma Physics;3;Plasma Physics;NULL
Ion Blaster Cannon II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Ishkur;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Ishkur;Datacore - Gallentean Starship Engineering;2;Gallentean Starship Engineering;NULL
Ishkur;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Ishtar;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Ishtar;Datacore - Gallentean Starship Engineering;8;Gallentean Starship Engineering;NULL
Ishtar;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
Jaguar;Cryptic Ship Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Jaguar;Datacore - Minmatar Starship Engineering;2;Minmatar Starship Engineering;NULL
Jaguar;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Jaspet Mining Crystal II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Jaspet Mining Crystal II;Datacore - Laser Physics;2;Laser Physics;NULL
Jaspet Mining Crystal II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Javelin L;Datacore - Electromagnetic Physics;1;Electromagnetic Physics;NULL
Javelin L;Datacore - Graviton Physics;1;Graviton Physics;NULL
Javelin L;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Javelin M;Datacore - Electromagnetic Physics;1;Electromagnetic Physics;NULL
Javelin M;Datacore - Graviton Physics;1;Graviton Physics;NULL
Javelin M;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Javelin S;Datacore - Electromagnetic Physics;1;Electromagnetic Physics;NULL
Javelin S;Datacore - Graviton Physics;1;Graviton Physics;NULL
Javelin S;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Keres;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Keres;Datacore - Gallentean Starship Engineering;2;Gallentean Starship Engineering;NULL
Keres;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Kernite Mining Crystal II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Kernite Mining Crystal II;Datacore - Laser Physics;2;Laser Physics;NULL
Kernite Mining Crystal II;Datacore - Electronic Engineering;2;Electronic Engineering;NULL
Kinetic Deflection Amplifier II;Datacore - Hydromagnetic Physics;1;Hydromagnetic Physics;NULL
Kinetic Deflection Amplifier II;Datacore - Quantum Physics;1;Quantum Physics;NULL
Kinetic Deflection Amplifier II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Kitsune;Esoteric Ship Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Kitsune;Datacore - Caldari Starship Engineering;2;Caldari Starship Engineering;NULL
Kitsune;Datacore - Mechanical Engineering;2;Mechanical Engineering;NULL
Kronos;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Kronos;Datacore - Gallentean Starship Engineering;32;Gallentean Starship Engineering;NULL
Kronos;Datacore - Mechanical Engineering;32;Mechanical Engineering;NULL
Lachesis;Incognito Ship Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Lachesis;Datacore - Gallentean Starship Engineering;8;Gallentean Starship Engineering;NULL
Lachesis;Datacore - Mechanical Engineering;8;Mechanical Engineering;NULL
LADAR Backup Array II;Datacore - Electromagnetic Physics;1;Electromagnetic Physics;NULL
LADAR Backup Array II;Datacore - Electronic Engineering;1;Electronic Engineering;NULL
LADAR Backup Array II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Algid Energy Administrations Unit II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Algid Energy Administrations Unit II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Algid Energy Administrations Unit II;Datacore - Laser Physics;3;Laser Physics;NULL
Large Algid Hybrid Administrations Unit II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Algid Hybrid Administrations Unit II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Algid Hybrid Administrations Unit II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Ancillary Current Router II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Ancillary Current Router II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Ancillary Current Router II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Anti-EM Pump II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Anti-EM Pump II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Anti-EM Pump II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Anti-EM Screen Reinforcer II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Anti-EM Screen Reinforcer II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Anti-EM Screen Reinforcer II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Anti-Explosive Pump II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Anti-Explosive Pump II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Anti-Explosive Pump II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Anti-Explosive Screen Reinforcer II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Anti-Explosive Screen Reinforcer II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Anti-Explosive Screen Reinforcer II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Anti-Kinetic Pump II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Anti-Kinetic Pump II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Anti-Kinetic Pump II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Anti-Kinetic Screen Reinforcer II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Anti-Kinetic Screen Reinforcer II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Anti-Kinetic Screen Reinforcer II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Anti-Thermal Screen Reinforcer II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Anti-Thermal Screen Reinforcer II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Anti-Thermal Screen Reinforcer II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Anti-Thermic Pump II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Anti-Thermic Pump II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Anti-Thermic Pump II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Armor Repairer II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Armor Repairer II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Armor Repairer II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Auxiliary Nano Pump II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Auxiliary Nano Pump II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Auxiliary Nano Pump II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Auxiliary Thrusters II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Auxiliary Thrusters II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
Large Auxiliary Thrusters II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Bay Loading Accelerator II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Bay Loading Accelerator II;Datacore - Rocket Science;3;Rocket Science;NULL
Large Bay Loading Accelerator II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Capacitor Battery II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Capacitor Battery II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Capacitor Battery II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Capacitor Control Circuit II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Capacitor Control Circuit II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Capacitor Control Circuit II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Cargohold Optimization II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Cargohold Optimization II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
Large Cargohold Optimization II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Core Defence Capacitor Safeguard II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Core Defence Capacitor Safeguard II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Core Defence Capacitor Safeguard II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Core Defence Charge Economizer II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Core Defence Charge Economizer II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Core Defence Charge Economizer II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Core Defence Field Extender II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Core Defence Field Extender II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Core Defence Field Extender II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Core Defence Field Purger II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Core Defence Field Purger II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Core Defence Field Purger II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Core Defence Operational Solidifier II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Core Defence Operational Solidifier II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Core Defence Operational Solidifier II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Drone Control Range Augmentor II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Drone Control Range Augmentor II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Drone Control Range Augmentor II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Drone Durability Enhancer II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Drone Durability Enhancer II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Drone Durability Enhancer II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Drone Mining Augmentor II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Drone Mining Augmentor II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Drone Mining Augmentor II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Drone Repair Augmentor II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Drone Repair Augmentor II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Drone Repair Augmentor II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Drone Scope Chip II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Drone Scope Chip II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Drone Scope Chip II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Drone Speed Augmentor II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Drone Speed Augmentor II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Drone Speed Augmentor II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Dynamic Fuel Valve II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Dynamic Fuel Valve II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
Large Dynamic Fuel Valve II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Egress Port Maximizer II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Egress Port Maximizer II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Egress Port Maximizer II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Emission Scope Sharpener II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Emission Scope Sharpener II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Emission Scope Sharpener II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large EMP Smartbomb II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large EMP Smartbomb II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large EMP Smartbomb II;Datacore - Laser Physics;3;Laser Physics;NULL
Large Energy Ambit Extension II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Energy Ambit Extension II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Energy Ambit Extension II;Datacore - Laser Physics;3;Laser Physics;NULL
Large Energy Burst Aerator II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Energy Burst Aerator II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Energy Burst Aerator II;Datacore - Laser Physics;3;Laser Physics;NULL
Large Energy Collision Accelerator II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Energy Collision Accelerator II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Energy Collision Accelerator II;Datacore - Laser Physics;3;Laser Physics;NULL
Large Energy Discharge Elutriation II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Energy Discharge Elutriation II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Energy Discharge Elutriation II;Datacore - Laser Physics;3;Laser Physics;NULL
Large Energy Locus Coordinator II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Energy Locus Coordinator II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Energy Locus Coordinator II;Datacore - Laser Physics;3;Laser Physics;NULL
Large Energy Metastasis Adjuster II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Energy Metastasis Adjuster II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Energy Metastasis Adjuster II;Datacore - Laser Physics;3;Laser Physics;NULL
Large Energy Transfer Array II;Occult Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Energy Transfer Array II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Energy Transfer Array II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Engine Thermal Shielding II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Engine Thermal Shielding II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
Large Engine Thermal Shielding II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Graviton Smartbomb II;Esoteric Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Graviton Smartbomb II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Graviton Smartbomb II;Datacore - Graviton Physics;3;Graviton Physics;NULL
Large Gravity Capacitor Upgrade II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Gravity Capacitor Upgrade II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Gravity Capacitor Upgrade II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Hull Repairer II;Cryptic Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Hull Repairer II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
Large Hull Repairer II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Hybrid Ambit Extension II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Hybrid Ambit Extension II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Hybrid Ambit Extension II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Hybrid Burst Aerator II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Hybrid Burst Aerator II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Hybrid Burst Aerator II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Hybrid Collision Accelerator II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Hybrid Collision Accelerator II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Hybrid Collision Accelerator II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Hybrid Discharge Elutriation II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Hybrid Discharge Elutriation II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Hybrid Discharge Elutriation II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Hybrid Locus Coordinator II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Hybrid Locus Coordinator II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Hybrid Locus Coordinator II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Hybrid Metastasis Adjuster II;Incognito Tuner Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Hybrid Metastasis Adjuster II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Hybrid Metastasis Adjuster II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Hydraulic Bay Thrusters II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Hydraulic Bay Thrusters II;Datacore - Rocket Science;3;Rocket Science;NULL
Large Hydraulic Bay Thrusters II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Hyperspatial Velocity Optimizer II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Hyperspatial Velocity Optimizer II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
Large Hyperspatial Velocity Optimizer II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Inverted Signal Field Projector II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Inverted Signal Field Projector II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Inverted Signal Field Projector II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Ionic Field Projector II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Ionic Field Projector II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Ionic Field Projector II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Liquid Cooled Electronics II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Liquid Cooled Electronics II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Liquid Cooled Electronics II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Low Friction Nozzle Joints II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Low Friction Nozzle Joints II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
Large Low Friction Nozzle Joints II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Memetic Algorithm Bank II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Memetic Algorithm Bank II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Memetic Algorithm Bank II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Nanobot Accelerator II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Nanobot Accelerator II;Datacore - Hydromagnetic Physics;3;Hydromagnetic Physics;NULL
Large Nanobot Accelerator II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Particle Dispersion Augmentor II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Particle Dispersion Augmentor II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Particle Dispersion Augmentor II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Particle Dispersion Projector II;Esoteric Tuner Data Interface;1;Caldari Encryption Methods;Decryptors - Caldari
Large Particle Dispersion Projector II;Datacore - Electromagnetic Physics;3;Electromagnetic Physics;NULL
Large Particle Dispersion Projector II;Datacore - Electronic Engineering;3;Electronic Engineering;NULL
Large Plasma Smartbomb II;Incognito Data Interface;1;Gallente Encryption Methods;Decryptors - Gallente
Large Plasma Smartbomb II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Plasma Smartbomb II;Datacore - Plasma Physics;3;Plasma Physics;NULL
Large Polycarbon Engine Housing II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Polycarbon Engine Housing II;Datacore - Molecular Engineering;3;Molecular Engineering;NULL
Large Polycarbon Engine Housing II;Datacore - Nanite Engineering;3;Nanite Engineering;NULL
Large Powergrid Subroutine Maximizer II;Occult Tuner Data Interface;1;Amarr Encryption Methods;Decryptors - Amarr
Large Powergrid Subroutine Maximizer II;Datacore - High Energy Physics;3;High Energy Physics;NULL
Large Powergrid Subroutine Maximizer II;Datacore - Quantum Physics;3;Quantum Physics;NULL
Large Projectile Ambit Extension II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
Large Projectile Ambit Extension II;Datacore - Nuclear Physics;3;Nuclear Physics;NULL
Large Projectile Ambit Extension II;Datacore - Mechanical Engineering;3;Mechanical Engineering;NULL
Large Projectile Burst Aerator II;Cryptic Tuner Data Interface;1;Minmatar Encryption Methods;Decryptors - Minmatar
